Geneid	symbol	DMSO_express	IBR_express	RES_express
ENSG00000007372	PAX6	FALSE	FALSE	FALSE
ENSG00000007376	RPUSD1	TRUE	TRUE	TRUE
ENSG00000007384	RHBDF1	FALSE	FALSE	FALSE
ENSG00000007392	LUC7L	TRUE	TRUE	TRUE
ENSG00000007402	CACNA2D2	FALSE	FALSE	TRUE
ENSG00000007516	BAIAP3	FALSE	FALSE	FALSE
ENSG00000007520	TSR3	TRUE	TRUE	TRUE
ENSG00000007541	PIGQ	FALSE	FALSE	FALSE
ENSG00000007545	CRAMP1L	TRUE	TRUE	TRUE
ENSG00000007866	TEAD3	FALSE	FALSE	FALSE
ENSG00000007908	SELE	FALSE	FALSE	FALSE
ENSG00000007923	DNAJC11	TRUE	TRUE	TRUE
ENSG00000007933	FMO3	FALSE	FALSE	FALSE
ENSG00000007944	MYLIP	TRUE	TRUE	TRUE
ENSG00000007952	NOX1	FALSE	FALSE	FALSE
ENSG00000007968	E2F2	TRUE	TRUE	TRUE
ENSG00000008018	PSMB1	TRUE	TRUE	TRUE
ENSG00000008056	SYN1	FALSE	FALSE	FALSE
ENSG00000008083	JARID2	TRUE	TRUE	TRUE
ENSG00000008086	CDKL5	FALSE	FALSE	FALSE
ENSG00000008118	CAMK1G	FALSE	FALSE	FALSE
ENSG00000008128	CDK11A	TRUE	TRUE	TRUE
ENSG00000008130	NADK	TRUE	TRUE	TRUE
ENSG00000008196	TFAP2B	FALSE	FALSE	FALSE
ENSG00000008197	TFAP2D	FALSE	FALSE	FALSE
ENSG00000008226	DLEC1	FALSE	FALSE	FALSE
ENSG00000008256	CYTH3	TRUE	TRUE	TRUE
ENSG00000008277	ADAM22	FALSE	FALSE	FALSE
ENSG00000008282	SYPL1	TRUE	TRUE	TRUE
ENSG00000008283	CYB561	FALSE	FALSE	FALSE
ENSG00000008294	SPAG9	TRUE	TRUE	TRUE
ENSG00000008300	CELSR3	FALSE	FALSE	FALSE
ENSG00000008311	AASS	FALSE	FALSE	FALSE
ENSG00000008323	PLEKHG6	FALSE	FALSE	FALSE
ENSG00000008324	SS18L2	TRUE	TRUE	TRUE
ENSG00000008382	MPND	TRUE	TRUE	TRUE
ENSG00000008394	MGST1	FALSE	FALSE	FALSE
ENSG00000008405	CRY1	FALSE	FALSE	FALSE
ENSG00000008438	PGLYRP1	FALSE	FALSE	FALSE
ENSG00000008441	NFIX	TRUE	TRUE	TRUE
ENSG00000008513	ST3GAL1	FALSE	FALSE	FALSE
ENSG00000008516	MMP25	FALSE	FALSE	FALSE
ENSG00000008517	IL32	FALSE	FALSE	FALSE
ENSG00000008710	PKD1	FALSE	FALSE	FALSE
ENSG00000008735	MAPK8IP2	FALSE	FALSE	FALSE
ENSG00000008838	MED24	TRUE	TRUE	TRUE
ENSG00000008853	RHOBTB2	FALSE	FALSE	TRUE
ENSG00000008869	HEATR5B	TRUE	TRUE	TRUE
ENSG00000008952	SEC62	TRUE	TRUE	TRUE
ENSG00000008988	RPS20	TRUE	TRUE	TRUE
ENSG00000009307	CSDE1	TRUE	TRUE	TRUE
ENSG00000009335	UBE3C	TRUE	TRUE	TRUE
ENSG00000009413	REV3L	TRUE	TRUE	TRUE
ENSG00000009694	TENM1	FALSE	FALSE	FALSE
ENSG00000009709	PAX7	FALSE	FALSE	FALSE
ENSG00000009724	MASP2	FALSE	FALSE	FALSE
ENSG00000009765	IYD	FALSE	FALSE	FALSE
ENSG00000009780	FAM76A	TRUE	TRUE	TRUE
ENSG00000009790	TRAF3IP3	TRUE	TRUE	TRUE
ENSG00000009830	POMT2	FALSE	FALSE	FALSE
ENSG00000009844	VTA1	TRUE	TRUE	TRUE
